	Account Number (CDP)	City Name (CDP)	Country (CDP)	City Short Name (CDP)	C40 (CDP)	Reporting Year (CDP)	Measurement Year (CDP)	Boundary (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Gases included (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Current Population Year (CDP)	Current Population (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	City Location (CDP)	Country Location (CDP)	Measurement year only (CDP)	scope fraction (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)
108	36159	City of Lisbon	Portugal	Lisbon		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	The data for the final energy use in the city of Lisbon was obtained from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt). To estimate the emissions from fuel use (scope 1), the emission factors from the 2006 IPCC Guidelines for National Greenhouse Gas Inventories were used. To estimate the emissions from electricity use (scope 2), the emission factor of the Portuguese electric system was obtained from National Energy Balance  from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt). The latest value was used, which refers to 2014 conditions.	CO2	1934361.0	1023910.0	910451.0	Decreased	The decrease in electricity emissions is related with increase of renewables in the national electricity generation mix. The decrease in diesel and gasoline is related with a correction of national statistics of energy for the period 2009-2012, where this figures were overestimated for Lisbon. The 2013 and 2014 values are now correct. Fuel-oil consumption also decreased by conversion to natural gas. Natural gas consumption increase.	2011.0	547773.0	68133192.0		2010.0	http://www.portugalglobal.pt/EN/InvestInPortugal/WhyPortugal/Lisbon/Documents/DatasheetNUTIII_Grande_Lisboa.pdf	17.3	85.0	50.0	(38.7222524, -9.1393366)	(39.399872, -8.224454)	2014.0	1.0		A
17	31175	City of Paris	France	Paris	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	5195663.0	3359242.0	1836421.0	Decreased	Thanks to Paris' climate change policy especially on sustainable mobility, social housing retrofitting, etc...	2015.0	2265886.0	153000000000.0	EUR     Euro	2013.0	INSEE	13.6	105.0	26.0	(48.856614, 2.3522219)	(46.227638, 2.213749)	2014.0	1.0		A
20	31155	City of Buenos Aires	Argentina	Buenos Aires	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	The GHG emissions are calculated by the Buenos Aires EPA Climate Change team using, primarily, IPCC methodology and reporting based on the city-induced framework of the GCP protocol. The city has already completed the BASIC approach.	CO2; CH4; N2O	19667128.0	15561157.0	4105971.0	Decreased	Due to the city mitigation actions, the city´s total GHG emissions have decreased compared to last year. It may be explained, among others factors, because of improvement of the mitigation measures in the Waste Sector: new technologies which have been implemented in order to reduce the volume of waste disposed in landfills. Even though, during 2014, the city recorded the longest heat wave in its history, which has led to an increase in energy consumption for air conditioning and in general a higher residential use of electricity; however, the reductions in the 2014 inventory were achieved by the diminution on natural gas consumption as well as the reductions done in the waste sector,  which in the end managed to diminish the impact of electricity energy subsector. Regarding transport sector, the City has sold little bit less fuel than last year, which is shown in a small decreases of the sector's emissions. Regarding the evolution of total GHG emissions in the period 2000 - 2014, an increase of 17% is observed. However, in the last 10 years (2005- 2014),the increase was 13%. After the implementation of the Action Plan, is relevant to compare the current level of emissions with those prior to the Plan, in 2008. Emissions in 2014 increased only 1.5% compared to 2008.	2015.0	3054267.0	78326876513.0	USD     US Dollar	2013.0	Treasury Secretariat, Buenos Aires City Government	18.0	202.0	25.0	(-34.6037232, -58.3815931)	(-38.416097, -63.616672)	2014.0	1.0		A
104	50679	Barreiro	Portugal	Barreiro		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	The data of energy consumption were collected from the Directorate General for Energy and Geology (DGEG).	CO2	290849.0	203441.0	87408.0	Increased	A residual increase of 2%.	2011.0	78764.0					16.0	33.0	20.0	(38.660815, -9.079072)	(39.399872, -8.224454)	2014.0	1.0		A
101	31185	City of Warsaw	Poland	Warsaw	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	Covenant of Mayors	CO2	11721774.0	7930452.0	3791322.0	Decreased	Reduction of CO2 emission was caused by lower consumption of heat and electricity for buildings which may have been caused by investments in thermal retrofitting of buildings, reduction of energy use due to higher social awareness (due to SEAP educational campaigns) and warmer winter.	2016.0	1626514.0	30041.0		2013.0	Central Statistical Office of Poland	8.0	517.0	103.0	(52.2296756, 21.0122287)	(51.919438, 19.145136)	2014.0	1.0		A
140	58485	Abington Township	USA	Abington 		2016.0	2010-12-31 00:00:00	Other: Municipal boundary	Other	"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperation
in a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), and
Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concerns
such as transportation, land use, environmental protection and economic development. DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval, with the most recent inventory reflecting year 2010 conditions as summarized below: 1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 
2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156 under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions.""  The 2010 results are what is being reported for this questionnaire."	CO2; PFCs; CH4; SF6; N2O; HFCs	615224.0	193345.0	421879.0	Decreased	Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.	2010.0	55310.0					13.6	40.1	86.0	(40.12408, -75.119511)	(37.09024, -95.712891)	2010.0	1.0		A
143	52893	City of Yonkers	USA	Yonkers		2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	We have measured energy but used a methodology similar to WRI. We used NYSERDA' s emission factor.	CO2	1248650.0	982940.0	265710.0	Decreased	It is not clear but we assume that economic factors are the primary driver of the decrease.	2013.0	199766.0					10.8	47.0	25.0	(40.9414, -73.8644)	(37.09024, -95.712891)	2010.0	1.0		A
99	14088	City of Oslo	Norway	Oslo	C40	2016.0	2013-12-01 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Oslo gets most of the GHG-data from Statistics Norway and has further developed it to make it compliant with the GPC-protocol. The GPC- reporting was approved september 2015. Statistics Norway did a revision of the GHG-data  in february 2016, but this last revision has not been updated in the GPC-reporting.	CO2; CH4; N2O	1340422.0	1094422.0	246000.0	Increased	We havn`t used the full GPC-methodology for more than one year so we can`t tell if the emissions have increased or decreased. But due to the numbers from Statistics Norway, we can conclude that there has been a slight increase. The main reason is growth in emissions from Off road-transportation. Emissions from stationary energy use in residential, commercial and institutional buildings have decreased.	2016.0	658390.0	458449000000.0	NOK     Norwegian Krone	2013.0	Statistics Norway	5.7	454.0	94.0	(59.9138688, 10.7522454)	(60.472024, 8.468946)	2013.0	1.0		A
144	32550	City of Denver	USA	Denver		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	"The methodology is explained in more detail in the peer-reviewed  journal paper ""A Demand-Centered, Hybrid Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q ."	CO2; CH4; N2O	8942000.0	4557000.0	4385000.0	Decreased	Denver saw a slight decrease over 2013 emissions, primarily due to reductions in the built environment.  Although Denver is currently undergoing a construction boom,our sole utilities electricity emission factor has fallen as a result of increased renewables and power plant switches away from coal and on to natural gas.	2014.0	663862.0	187111000000.0	USD     US Dollar	2014.0	BEA Denver Metro Area	10.1	401.0	1609.0	(39.737567, -104.9847179)	(37.09024, -95.712891)	2014.0	1.0		A
181	49338	City of Tucson	USA	Tucson		2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; CH4; N2O	6659101.0	2571089.0	4088012.0	Decreased	More efficient practices plus the impact of the recession	2015.0	529845.0	35717000.0	USD     US Dollar	2014.0	U.S. Bureau of Economic Analysis	21.6	587.2	743.0	(32.2217, -110.9265)	(37.09024, -95.712891)	2012.0	1.0		A
180	58531	City of Somerville, MA	USA	Somerville, MA		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	586308.0	461798.0	124510.0	This is our first year of calculation		2014.0	78900.0						10.3	4.0	(42.393449, -71.082647)	(37.09024, -95.712891)	2014.0	1.0		A
175	49334	City of Richmond, VA	USA	Richmond, VA		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Collected data over a 1 year period with the help of many City departments as well as private utility company.	CO2	3152498.0	1470127.0	1682371.0	Decreased	increases in efficiency, increased usage of natural gas	2014.0	217853.0	70491000000.0		2014.0	http://www.bea.gov/itable/iTable.cfm?ReqID=70&step=1#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=40060&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels (this is metro area and not city specific)	15.0	162.0	49.0	(37.540725, -77.436048)	(37.09024, -95.712891)	2013.0	1.0		A
173	35877	City of Pittsburgh	USA	Pittsburgh		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; CH4; N2O	4803046.0	2073556.0	2729490.0	Decreased	There has been significant variation in the way that data was collected an reported, and Pittsburgh had about 30,000 fewer residents in 2013 compared to 2003. Recalculating 2003 and 2008 inventories to compare to the 2013 inventory shows that emissions have decreased by about 4% since the 2008 inventory, but have still increased by 10% since 2003. Several exogenous factors reduced emissions - such as lower electricity emission factors due to a cleaner electric grid, and better fuel efficiency and lower tailpipe emission factors for cleaner vehicles. However, Pittsburgh did see reductions in the tonnage of solid waste sent to landfill and a reduction in vehicle miles traveled. The industrial sector used less electricity in 2013 than in 2003, and less natural gas in 2013 than in 2008. The commercial sector used less electricity in 2013 than in 2008, but used significantly more natural gas. The residential sector increased electricity use and substantially increased natural gas use. The increase in natural gas is likely due to improved data quality, but seems to also correlate to the rise of hydraulic fracturing in the region. Natural gas emissions increased almost three-fold since 2003.	2016.0	305704.0	135662.0	USD     US Dollar	2014.0	http://www.pittsburghtoday.org/view_GDP2.html	11.1	151.0	293.0	(40.4406248, -79.9958864)	(37.09024, -95.712891)	2013.0	1.0		A
170	60656	City of Piedmont, CA	USA	Piedmont, CA		2016.0	2011-01-01 00:00:00	Other:	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; PFCs; CH4; SF6; N2O; HFCs	43442.0	17876.0	25566.0	Decreased	They have decreased due to a decrease in electricity and gas usage usage in the residential sector as well an increased renewable-generated portfolio of electricity sources, specifically hydropower.	2013.0	11082.0	360400000000.0	USD     US Dollar	2013.0	San Francisco/Oakland/Hayward Metropolitan Area GDP: http://www.usmayors.org/metroeconomies/2013/201311-charts.pdf	15.0	4.3	101.0	(37.8244, -122.2316)	(37.09024, -95.712891)	2011.0	1.0		A
2	55179	City of Okayama	Japan	Okayama		2016.0	2013-03-31 00:00:00	Administrative boundary of a local government	Other		CO2; PFCs; CH4; SF6; N2O; HFCs	6916000.0	114000.0	6802000.0			2015.0	705917.0	2066421.0	JPY     Japanese yen	2015.0	岡山県統計分析課	16.1	790.0	55.0	(34.655146, 133.919502)	(36.204824, 138.252924)	2013.0	1.0		A
