	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
176	Blacksburg	633.0	10.8	Administrative boundary of a local government		Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	0.0367294791	0.017698981699999998			(37.2296, -80.4139)	Town of Blacksburg	44215.0	2015.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0			this information is not available at this geographic scale	CO2; CH4; N2O		Decreased	51.5	Electricity and Natural Gas consumption are measured values however transportation figures are based on Virginia DOT's Vehicle Miles Traveled studies and estimates which may not be entirely accurate.	766200000000.0	The last GHG inventory performed for the Town of Blacksburg was in 2012. Over those three years decreased emissions from electric utility provider's fuel mix has resulted in decreased emissions in the residential, commercial, industrial and public sectors. Considering the population increase it is likely that the culture of electricity use may have also lead to decreased consumption. Transportation emissions have increased by 1.39% which is likely due to the 3.29% increase in population. Wastewater emissions are significantly lower because of errors made in the previous emission calculations. Emissions from solid waste have also decreased roughly 4.4%.	2017.0	80308.184048496	91429.140362131	102550.09667576599	124461.79	CDP	tCO2-eq	2015.0	223021.63	303329.814048496	314450.7703621309	325571.726675766	347483.42				0.0356646952	USA												North America	1.0
146	Bogor	260.0	32.1	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT = s1, s2 does not exist (Case 1b) in CDP2016. Soln: Replace with CDP2017 values (TOT, s1 and s2)	0.0167237797	0.0109098013		117412136000000.0	(-6.597147, 106.806039)	Bogor City Government	1047922.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.42	31780000000.0		IDR     Rupiah	Central Statistic Bureau	CO2; CH4; N2O		Increased	118.5	Finished	75000000000.0	due to population growth, transportation and economic activity	2017.0	535599.7386488072	584753.1781538231	633906.6176588392	954020.0	CDP	tCO2-eq	2014.0	1239622.0	1775221.7386488072	1824375.1781538231	1873528.617658839	2193642.0		2014.0		0.0142602033	Indonesia												Southeast Asia	1.0
114	Bogotá	2650.0	15.0	Administrative boundary of a local government			0.0153077511	0.006765019000000001		50464206.0	(4.598056, -74.075833)	Bogotá Distrito Capital	7878783.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0		USD     US Dollar	DANE 2016	CO2; CH4; SF6; N2O		Decreased	1776.0	The IPCC guidelines in 2006 for GHG inventories, specifically for modules: energy, industrial processes and products use, waste and forestry module and land uses.	1.0	Emissions for Energy sector in 2015 are reduced because the projection is from the emissions inventory for 2012 , because the emission factor has a high confidence in compración to that used in 2008. GHG emissions in the waste sector decreased because the mitigation measures as burning torch and recovery of biogas for energy self-generation are implemented. Emissions of greenhouse gases have increased for the ASUS sector compared to 2014, because they were projected of the emissions inventory of greenhouse gases of the year 2008, from growth data of the bovine population, ecological structure principal, agriculture in Cundinamarca, and production of products of wood, which have an increasing trend over time.	2016.0	7302604.564222484	8244893.218424965	9187181.872627445	10679585.14	CDP	tCO2-eq	2015.0	1094791.71	8982343.954222482	9924632.608424963	10866921.262627443	12359324.53		2015.0		0.0153077511	Colombia												Latin America & Caribbean	0.9526715494378236
138	Bologna	29.0	15.0	Administrative boundary of a local government			0.0151458624	0.011383130900000002		37033.0	(44.4856087, 11.3547975)	Comune di Bologna	386181.0	2014.0	D	Other	0.01	68000000.0			Bologna Chamber of Commerce	CO2		Decreased	140.0	Sustainable Energy Action Plan Guide Line	7800000000.0	Main cause is the economic crisis, secondary are actued mitigation actions	2016.0					CDP	tCO2	2009.0					2270524.7		2010.0		0.0151130591	Italy												Europe	
135	Bornova			0			0.0296417873	0.0255910407			(35.2141598, 33.2947541)	Bornova Municipality	416007.0	2012.0	D	Other	0.05	31000000.0						This is our first year of calculation			632000000.0		2016.0					CDP	tCO2-eq	2011.0		415668.05160446244	438102.7968434426	460537.5420824228	758627.0				0.0294430956	Turkey												North Africa, Middle East, West Asia	
59	Boston	2.0	10.0	Administrative boundary of a local government			0.0367294791	0.017698981699999998		103067100436.0	(42.3584308, -71.0597732)	City of Boston	646000.0	2013.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	Boston Redevelopment Authority analysis using data from the Bureau of Economic Analysis and the National Bureau of Economic Research	CO2; CH4; N2O		Decreased	124.0	For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. A 10% ethanol content for gasoline is also accounted for.  Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.	766200000000.0	Overall GHGs decreased by about 2,000 metric tonnes, or 0.03%. This could be in part because there was only a small increase in heating degree days (HDD) from 2013 to 2014 (6.5%), and natural gas used declined more than 4.5%. Meanwhile the electricity emissions factor fell by a few points, while electricity use increased only 1.2%.	2016.0	2958166.9932224	3120648.9061164	3283130.8190104	3603270.0	CDP	tCO2-eq	2014.0	2462912.0	5421078.9932224015	5583560.9061164	5746042.8190104	6066182.0		2015.0		0.0356646952	USA												North America	1.0
58	Boulder	1655.0	10.9	Administrative boundary of a local government			0.0367294791	0.017698981699999998		22354000000.0	(40.0274, -105.2519)	City of Boulder	104810.0	2015.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	Bureau of Economic Analysis, Dept. of Commerce	CO2; CH4; N2O		Other	67.0	This protocol was adopted for the 2012 inventory. Previous inventories followed a different methodology making an apples to apples comparison difficult. It is the city's intention to follow the GPC, in addition to the U.S. Community Protocol, for the 2015 inventory, expected completion by December 2016.	766200000000.0	Changed to US Community Protocol for 2012 inventory. Only 2005 was backcast using the new protocol. Technically, we increased a half of a percent (0.5%) from our 2005 baseline. However, not only was the baseline inventory backcast but data sources changed between the two inventories as well. The error margin straddles the 'no change' parameters.	2016.0	636622.532290464	662984.3423375541	689346.152384644	741287.0	CDP	tCO2-eq	2012.0	980709.0	1617331.532290464	1643693.342337554	1670055.1523846441	1721996.0		2014.0		0.0356646952	USA												North America	1.0
105	Bournemouth	22.0	14.0	Administrative boundary of a local government			0.0260463068	0.0181362582			(50.719164, -1.880769)	City of Bournemouth	191400.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.26	10550000000.0				CO2		Decreased	108.0	The GHG emissions described in this section were calculated and published by the Department for Energy and Climate Change (DECC).  Summary of the calculation methodology is available from: https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-2013.	40990000000.0	Carbon emissions from all sectors (homes, business and transport) have decreased.  Contributing factors to this include home insulation programmes, signposting to business advice sources and increased provision for walking, cycling and public transport. (NOTE: Since last year's submissions, 2012 emissions data has been revised, giving a total of 818100 CO2e; this is higher than the total that was previously reported.)	2016.0				350775.0	CDP	tCO2	2013.0	431850.0				782650.0				0.0240104197	United Kingdom												Europe	0.9999680572414232
186	Brasília	1172.0	21.0	A metropolitan area		CDP2016 TOT likely wrong because one scope is missing.	0.0204194776	0.0151203426		171235.0	(-15.794229, -47.882166)	City of Brasília	1409671.0	2015.0	E	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.69	11700000000.0		BRL     Brazilian Real	Produto Interno Bruto do Distrito Federal. CODEPLAN	CO2; CH4; N2O; HFCs; PFCs; SF6		Increased	5780.0	Inventário de Emissões e Remoções Antrópicas de GEE do DF (WayCarbon, 2014). PERÍODO DE REFERÊNCIA • Geral: 2005 a 2012, ano a ano. • Mudança do uso da terra (AFOLU): Transição 1990 / 2005 / 2012 ANO DE REFERÊNCIA 2012	17030000000.0	Considerando-se as Emissões de GEE por setor para o DF (emissões totais) no período de 2005-2012, as emissões têm aumentado em todos os setores avaliados. De acordo com a análise, os setores Energia e Resíduos apresentaram variação crescente ao longo de todos os períodos de análise. Para o setor IPPU, apenas a comparação 2005-2008 apresentou resultados menores do que o período anterior (2005-2007), com nova tendência de aumento nos demais intervalos subsequentes (devido à redução da produção de cimento em 2008 e retomada da produção nos anos seguintes). Já AFOLU apresentou intervalos irregulares de variação positiva e negativa ao longo do período, com valores negativos para os intervalos 2005-2006, 2005-2008, 2005-2009 e 2005-2010. No ano de variação positiva (2005-2007) as categorias mais representativas em emissões no setor AFOLU (Calagem e Emissões da queima de biomassa) também tiveram variação positiva nesse mesmo período.	2016.0	7077555.549030806	7110286.855889419	7143018.162748031	7739830.0	CDP	tCO2-eq	2012.0		7077555.549030806	7110286.855889419	7143018.162748031	7739830.0		2012.0		0.0167788505	Brazil												Latin America & Caribbean	
132	Brisbane, CA			0			0.0367294791	0.017698981699999998			(37.6808, -122.4)	City of Brisbane, CA	4603.0	2015.0	D	International Emissions Analysis Protocol (ICLEI)	0.06	42870000000.0				CO2; CH4; N2O		Decreased	7.5		766200000000.0	There was a 10% reduction between 2005 and 2010	2016.0					CDP	tCO2-eq	2016.0		143428.3914238432	144586.13793321018	145743.8844425772	148025.0				0.0356646952	USA												North America	
190	Bristol															Community																	2127000.0	carbonn	tCO2-eq	2012.0								Independent municipality		United Kingdom			Bristol City Council	GBP	12627000000.0	2013.0	51.45451	-2.58791	23100902830.8692	442500.0	2015.0	Europe	
191	Brussels															Community																	3293000.0	carbonn	tCO2-eq	2011.0								State / Region		Belgium			Brussels Capital Region	USD	110000000000.0	1971.0	50.85034	4.35171	127657612403.47	1175173.0		Europe	
37	Buenos Aires	25.0	18.0	Administrative boundary of a local government			0.0046829182	0.0041514982		78326876513.0	(-34.6037232, -58.3815931)	City of Buenos Aires	3054267.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.07	2600000000.0		USD     US Dollar	Treasury Secretariat, Buenos Aires City Government	CO2; CH4; N2O		Decreased	202.0	The GHG emissions are calculated by the Buenos Aires EPA Climate Change team using, primarily, IPCC methodology and reporting based on the city-induced framework of the GCP protocol. The city has already completed the BASIC approach.	38770000000.0	Due to the city mitigation actions, the city´s total GHG emissions have decreased compared to last year. It may be explained, among others factors, because of improvement of the mitigation measures in the Waste Sector: new technologies which have been implemented in order to reduce the volume of waste disposed in landfills. Even though, during 2014, the city recorded the longest heat wave in its history, which has led to an increase in energy consumption for air conditioning and in general a higher residential use of electricity; however, the reductions in the 2014 inventory were achieved by the diminution on natural gas consumption as well as the reductions done in the waste sector,  which in the end managed to diminish the impact of electricity energy subsector. Regarding transport sector, the City has sold little bit less fuel than last year, which is shown in a small decreases of the sector's emissions. Regarding the evolution of total GHG emissions in the period 2000 - 2014, an increase of 17% is observed. However, in the last 10 years (2005- 2014),the increase was 13%. After the implementation of the Action Plan, is relevant to compare the current level of emissions with those prior to the Plan, in 2008. Emissions in 2014 increased only 1.5% compared to 2008.	2016.0	15163724.04957472	15184923.549447887	15206123.049321055	15561157.0	CDP	tCO2-eq	2014.0	4105971.0	19269695.04957472	19290894.549447887	19312094.04932105	19667128.0		2013.0		0.00464728	Argentina												Latin America & Caribbean	1.0
192	Buffalo City															Community																	2592942.0	carbonn	tCO2-eq	2007.0								Independent municipality		South Africa			Buffalo City Metropolitan Municipality	USD	3323260000.0	2013.0	-32.9833	27.8667	3888370113.3161798	797556.0	2011.0	Africa	
104	Burlington	61.0	7.7	Administrative boundary of a local government			0.0367294791	0.017698981699999998		12700000.0	(44.4758825, -73.212072)	City of Burlington	42284.0	2015.0	A	International Emissions Analysis Protocol (ICLEI)	0.06	42870000000.0		USD     US Dollar	Bureau of Economic Analysis	CO2		Decreased	40.1	The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.	766200000000.0	"Burlington continues to ""green"" its energy mix. With cleaner sources of energy supplying electricity to the grid, fewer emissions are being released."	2016.0				368077.0	CDP	tCO2	2010.0	37305.0				405385.3		2014.0		0.0356646952	USA												North America	0.9999918595962902
